char,Line,movie
GANDALF,"Hold them back, do not give in to fear. Stand to your posts. Fight!  ",The Return of the King 
GANDALF,"Not at the towers! Aim for the trolls, kill the trolls! ",The Return of the King 
GANDALF,Bring them down!  ,The Return of the King 
GANDALF,"Fight them back! ,Peregrin Took! Go back to the Citadel. ",The Return of the King 
PIPPIN,They called us out to fight.  ,The Return of the King 
GANDALF,This is no place for a Hobbit!  ,The Return of the King 
GANDALF,"Guard of the Citadel indeed! , Now back up the hill     quickly. Quick!  ",The Return of the King 
GOTHMOG,What are you doing you useless scum?  ,The Return of the King 
ORC,The door wont give. It's too strong.  ,The Return of the King 
THEODEN,I take my leave.  ,The Return of the King 
ARAGORN, My lord Elrond ,The Return of the King 
ELROND,I come on behalf of one whom I love.  Arwen is dying.  She will not long     survive the evil that now spreads from Mordor.  The light of the evenstar is     failing.  As Sauron's power grows her strength wanes.  Arwen's life is now     tied to the fate of the Ring.  The Shadow is upon us Aragorn.  The end has     come. ,The Return of the King 
ARAGORN,"It will not be our end, but his.   ",The Return of the King 
ELROND,"  You ride to war     but not to victory.  Sauron's armies ride on Minas Tirith, this you know.      But in secret he sends another force, which will attack, from the river.    , A fleet of Corsair ships sails from the South.  They will be     in the city in two days.  You're outnumbered Aragorn.  You need more men. ",The Return of the King 
ARAGORN,There are none. ,The Return of the King 
